train_arc_acc,train_lab_acc
0.760555,0.921726
0.778828,0.92555
0.777843,0.923394
0.777815,0.918836
0.776895,0.916231
0.788549,0.928129
0.789452,0.92589
0.777951,0.928233
0.770379,0.910112
0.792681,0.933644
0.799312,0.920413
0.782953,0.922217
0.779736,0.915161
0.76371,0.922501
0.793318,0.934391
0.779163,0.921746
0.786208,0.92474
0.776567,0.924849
0.773026,0.928571
0.774929,0.923415
0.790686,0.915114
0.797283,0.921272
0.817191,0.92398
0.763713,0.915268
0.783498,0.931526
0.770224,0.922697
0.77621,0.924443
0.805652,0.930502
0.775945,0.929652
0.764817,0.924979
0.788115,0.922992
0.807705,0.92596
0.790908,0.923258
0.786793,0.933709
0.817125,0.924594
0.776664,0.931855
0.789617,0.925428
0.767166,0.928799
0.775822,0.919991
0.773693,0.931741
0.792866,0.924837
0.821056,0.918869
0.773492,0.920486
0.797955,0.925624
0.773226,0.924363
0.780436,0.92284
0.792335,0.924947
0.778063,0.921715
0.768347,0.929435
0.801258,0.930705
0.798178,0.930417
0.78797,0.923783
0.782499,0.926703
0.786768,0.924031
0.776203,0.920458
0.772117,0.919105
0.78935,0.928453
0.787116,0.935524
0.783241,0.925286
0.786395,0.92976
0.771865,0.919709
0.800341,0.9292
0.792748,0.926426
0.780313,0.923946
0.787257,0.920942
0.797112,0.922978
0.811622,0.927538
0.771964,0.920898
0.798716,0.927569
0.784007,0.925498
0.792798,0.926675
0.766258,0.927728
0.814312,0.918563
0.78222,0.930857
0.809745,0.92306
0.790714,0.923327
0.819407,0.935008
0.792332,0.928177
0.797285,0.923771
0.792622,0.928718
0.778666,0.927975
0.789072,0.931197
0.790363,0.91416
0.789315,0.924115
0.784789,0.927287
0.803086,0.928282
0.789675,0.936703
0.77562,0.925902
0.790064,0.929076
0.808011,0.917947
0.808565,0.930655
0.772897,0.925548
0.815423,0.940927
0.806369,0.933234
0.808187,0.932571
0.763229,0.923404
0.800123,0.929468
0.800481,0.929048
0.788467,0.922445
0.786123,0.933131
0.806021,0.926546
0.800777,0.932722
0.79409,0.9217
0.801755,0.928027
0.767104,0.928439
0.811296,0.935314
0.779989,0.927513
0.785879,0.935592
0.816237,0.930902
0.792909,0.930912
0.812837,0.938093
0.774476,0.924897
0.797009,0.919288
0.784579,0.930481
0.785845,0.939349
0.808093,0.943495
0.787147,0.922893
0.800533,0.929547
0.786444,0.92371
0.808292,0.926885
0.785714,0.925907
0.791493,0.912874
0.801312,0.931521
0.811178,0.936869
0.790768,0.934748
0.822413,0.9209
0.785385,0.927271
0.824621,0.927657
0.800526,0.933743
0.794633,0.919083
0.80855,0.935169
0.789071,0.925794
0.79353,0.926193
0.813436,0.9195
0.806567,0.932291
0.824887,0.931358
0.795529,0.924307
0.800259,0.923215
0.797399,0.92526
0.808264,0.938677
0.808988,0.925327
0.814614,0.936159
0.800566,0.924572
0.789222,0.928401
0.775959,0.919405
0.792531,0.916391
0.790348,0.921365
0.816082,0.94011
0.799874,0.927106
0.794378,0.931601
0.793839,0.930053
0.797473,0.923944
0.806932,0.937983
0.798817,0.933849
0.821446,0.934368
0.795575,0.933019
0.794805,0.927171
0.801341,0.931307
0.783678,0.929552
0.804278,0.932032
0.800187,0.92573
0.787824,0.931619
0.790454,0.927258
0.812994,0.935801
0.808137,0.936141
0.796576,0.919332
0.804135,0.933699
0.794577,0.929674
0.79762,0.920662
0.81531,0.920958
0.799581,0.926068
0.813358,0.937713
0.805372,0.928727
0.802011,0.934763
0.801584,0.928093
0.814551,0.92573
0.815666,0.930664
0.781218,0.921754
0.792439,0.913684
0.79521,0.934799
0.810245,0.938478
0.795944,0.931874
0.788433,0.935809
0.812467,0.92122
0.798603,0.924411
0.810629,0.936385
0.824629,0.946093
0.812676,0.932518
0.810192,0.946867
0.808412,0.921801
0.794984,0.929735
0.796369,0.925171
0.801762,0.933645
0.795443,0.926113
0.795021,0.920805
0.812919,0.935257
0.796001,0.931447
0.775609,0.925145
0.820727,0.935581
0.790461,0.925768
0.822961,0.941595
0.787902,0.91384
0.79699,0.935079
0.791942,0.924389
0.807908,0.930797
0.795326,0.928737
0.814643,0.93153
0.793652,0.921024
0.792863,0.938819
0.770479,0.918418
0.80845,0.93406
0.799153,0.928014
0.768771,0.909632
0.808326,0.937869
0.795024,0.926297
0.810994,0.939952
0.800592,0.933305
0.788947,0.930513
0.777782,0.92287
0.8027,0.919919
0.799786,0.926567
0.797415,0.926196
0.799468,0.934404
0.784163,0.915077
0.791239,0.940234
0.808407,0.934228
0.825754,0.929971
0.800992,0.944793
0.811602,0.926035
0.800861,0.927788
0.83225,0.947213
0.817576,0.92674
0.788248,0.923229
0.816986,0.930619
0.79632,0.922074
0.822997,0.93654
0.796461,0.924199
0.791457,0.933246
0.781679,0.934321
0.814372,0.927738
0.783035,0.936615
0.822185,0.939949
0.796358,0.928043
0.810966,0.932552
0.804116,0.93923
0.811596,0.936202
0.79894,0.927089
0.808805,0.932853
0.804735,0.936295
0.826991,0.924276
0.796603,0.935159
0.825952,0.933443
0.818196,0.936041
0.816075,0.938113
0.80598,0.922809
0.811701,0.931824
0.820587,0.923229
0.784831,0.919391
0.789463,0.926126
0.810175,0.927458
0.815873,0.93038
0.791753,0.923665
0.794521,0.928576
0.818604,0.94028
0.801208,0.934392
